24.109,14.038,7.8847,3.0565,1627.2
76.866,19.877,7.867,3.6543,-595.59
61.631,18.966,8.0984,4.6943,-1350.3
284.09,68.501,18.798,5.3661,322.59
118.92,34.445,10.963,3.2566,4755.1
93.11,30.661,10.798,2.9033,-1527.7
14.91,9.6265,4.7529,2.7047,563.38
117.2,32.918,7.8728,2.9052,-184.05
98.631,30.232,7.7899,2.8819,-2044.9
32.712,13.037,6.7747,3.8441,-2126.8
117,30.689,7.787,3.3175,4741.4
115.99,29.31,7.626,3.3501,-2265.9
95.535,16.98,6.3079,3.2929,-394.68
211.03,63.179,8.1903,2.7928,4132.7
196.92,57.481,7.6085,2.7815,-2032.6
32.072,33.269,6.618,2.5,-2100.9
31.117,12.762,7.2647,3.9374,1910.7
40.263,13.851,7.931,4.3483,3327.6
19.128,8.9782,3.9842,2.141,-1235
76.534,18.984,5.7592,2.167,-2074.2
113.92,27.572,7.2218,3.3441,3392.4
21.588,43.807,8.9113,3.0626,353.31
143.89,43.505,10.62,4.0961,167.66
154.73,45.118,9.3356,3.7288,521.64
92.126,43.154,15.435,4.9516,891.47
27.837,9.7347,2.9422,2.3024,3685.6
354.88,121.09,29.778,6.7788,-7623.1
32.873,31.922,7.7182,3.4842,-1116.1
84.978,24.733,7.4211,2.7534,1697.2
134.5,38.857,8.1704,3.3901,-151.07
56.136,30.79,8.7005,4.0815,-190.65
61.098,21.336,7.1393,3.9516,-607.37
72.285,23.339,7.4713,3.2554,5168.3
39.587,37.994,10.746,4.9637,-518.92
57.815,18.427,9.2127,4.2308,3929.7
69.331,18.127,10.849,5.5809,-3867.6
84.262,22.867,8.3531,3.1578,5508.6
72.329,25.942,8.0963,2.722,-292.31
153.01,47.026,15.256,4.5556,-12312
22.265,16.89,5.4063,3.1016,-3534.8
43.741,11.44,4.7471,2.8694,3692.2
29.448,8.8708,3.7986,1.8295,-1030.5
11.119,20.023,3.8249,1.7049,-815.73
13.937,22.52,4.9104,2.9179,-456.28
21.407,10.843,7.048,4.5744,-1680.6
44.18,19.716,6.2219,2.2079,-1121.4
55.207,17.007,6.4605,2.8144,6169.5
75.949,19.39,7.2497,3.1389,-160.7
39.115,38.593,11.897,3.7258,2266.4
100.12,28.858,10.238,3.4264,-751.3
125.65,31.439,8.5599,3.7516,-1367.9
36.027,30.302,8.8163,3.266,-535.19
78.727,23.55,9.4462,4.4126,-1486
114.38,24.987,10.215,4.8272,2735.3
26.465,28.236,8.2591,4.3903,229.11
39.982,26.049,9.4282,2.9267,-615.93
35.991,18.178,7.4489,3.0028,1978.5
58.496,39.982,11.774,3.6011,4499.7
45.682,23.77,9.7612,3.302,5405.9
46.204,20.982,9.0245,3.0203,-104.13
9.6072,29.962,6.6609,2.7875,-1637.5
103.44,24.259,7.402,3.7733,1072.2
123.66,24.433,9.2916,5.1224,2126.6
26.889,26.081,7.8995,3.3088,5054.6
51.875,16.01,6.1799,2.0204,868.3
46.784,18.277,6.169,1.9881,-1760.2
18.961,10.025,7.2304,4.0262,189.06
155.47,28.773,8.5343,3.526,2935.5
107.59,23.095,6.5889,2.7232,-3243.4
35.159,25.273,7.4872,3.0543,-649.61
79.015,28.949,6.9275,2.721,2352.2
101.71,24.182,8.7982,4.2772,3606.6
15.43,14.721,5.6805,4.5114,1832.5
99.808,27.854,7.5491,3.8209,-309.98
99.615,25.015,6.3822,3.1384,-1528.9
129.14,34.671,11.318,3.4445,-1089.3
236.67,57.462,17.082,5.6548,9329.8
64.213,22.998,7.5941,2.7634,3105.9
66.193,34.487,13.449,4.5988,-10121
69.698,29.651,10.302,4.8856,-2130.1
115.46,34.222,10.756,4.4947,-3232.8
46.926,17.079,7.8196,3.576,-2505.2
85.418,23.765,11.22,5.7533,5228.5
242.6,62.514,12.157,4.3832,-3804
12.539,12.319,6.0406,2.999,11101
38.743,14.269,6.1398,2.4114,-692.5
65.93,15.765,4.5273,1.7322,-491.97
40.086,45.098,8.9286,4.7224,1760.2
86.249,33.36,7.2311,3.0563,-1319.4
275.53,53.148,10.978,4.1352,1699.1
37.632,15.961,6.5239,3.7114,193.5
60.335,18.17,7.6055,4.64,1012.7
101.39,23.23,7.0554,3.6571,2091.9
25.527,15.973,4.0003,1.6734,-1806.5
32.675,9.1161,2.4624,1.6291,3410.4
37.894,10.332,2.8562,2.7355,11211
34.309,9.6842,2.8832,2.4075,-3161
102.69,33.961,10.488,3.3815,8688.7
46.298,16.22,6.8715,2.4934,-672.64
32.737,18.325,5.926,3.5401,4837.1
57.367,24.956,9.3078,3.9034,-2264.9
83.17,25.327,9.3998,4.0262,16492
45.625,29.538,10.812,3.0618,7205.8
70.177,24.033,8.0341,3.5843,4454.5
52.982,20.324,7.9628,2.6755,-368.25
60.335,30.157,8.1634,4.2829,10713
390.07,171.27,54.63,15.348,-256.39
65.846,21.015,7.3115,2.8721,-3622.7
52.611,36.524,13.533,2.8466,-1125.1
24.776,15.374,6.697,2.0155,261.15
35.22,17.109,6.9054,2.6307,1078.1
3.6761,3.4845,2.4593,4.5181,2599.3
67.111,11.88,2.9031,2.0705,3687.6
79.262,12.505,2.8578,1.3163,12851
